name,phone,full_address,district,city,province,postal_code,reviews_score,reviews_amount,latitude,longitude,googlemaps_link
Toko Abadi Jaya,6287832339009,"Jl. Pekojan No.86, Purwodinatan, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah 50137",Kec. Semarang Tengah,Kota Semarang,Jawa Tengah,50137,4.5,16,-6.9710689,110.3559899,"https://www.google.com/maps/place/Toko+Abadi+Jaya/@-6.9710689,110.3559899,13z/data=!4m11!1m3!2m2!1sToko+Bahan+Bangunan+en+Semarang!6e6!3m6!1s0x2e70f355a5b4ba9b:0x7f9ca95c0a409f92!8m2!3d-6.9739!4d110.42841!15sCh9Ub2tvIEJhaGFuIEJhbmd1bmFuIGVuIFNlbWFyYW5nWiEiH3Rva28gYmFoYW4gYmFuZ3VuYW4gZW4gc2VtYXJhbmeSARhidWlsZGluZ19tYXRlcmlhbHNfc3RvcmXgAQA!16s%2Fg%2F11bc7rkmhq?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
Toko Sumber Sari,628112999278,"Jl. Pekojan No.7880, Purwodinatan, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah 50137",Kec. Semarang Tengah,Kota Semarang,Jawa Tengah,50137,4.8,26,-6.9710689,110.3559899,"https://www.google.com/maps/place/Toko+Sumber+Sari/@-6.9710689,110.3559899,13z/data=!4m11!1m3!2m2!1sToko+Bahan+Bangunan+en+Semarang!6e6!3m6!1s0x2e70f355098e8f83:0xa2205969e813e323!8m2!3d-6.9736948!4d110.4283463!15sCh9Ub2tvIEJhaGFuIEJhbmd1bmFuIGVuIFNlbWFyYW5nWiEiH3Rva28gYmFoYW4gYmFuZ3VuYW4gZW4gc2VtYXJhbmeSARhidWlsZGluZ19tYXRlcmlhbHNfc3RvcmXgAQA!16s%2Fg%2F1pzsrwcl6?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
Cv. Putra Jaya Mandiri,6281393486269,"Jl. Citarum No.68, Bugangan, Kec. Semarang Tim., Kota Semarang, Jawa Tengah 50126",Kec. Semarang Tim.,Kota Semarang,Jawa Tengah,50126,4.9,18,-6.9710689,110.3559899,"https://www.google.com/maps/place/Cv.+Putra+Jaya+Mandiri/@-6.9710689,110.3559899,13z/data=!4m11!1m3!2m2!1sToko+Bahan+Bangunan+en+Semarang!6e6!3m6!1s0x2e70f36eefeb3139:0x6d5e628dbb104fa4!8m2!3d-6.9696766!4d110.436721!15sCh9Ub2tvIEJhaGFuIEJhbmd1bmFuIGVuIFNlbWFyYW5nWiEiH3Rva28gYmFoYW4gYmFuZ3VuYW4gZW4gc2VtYXJhbmeSARhidWlsZGluZ19tYXRlcmlhbHNfc3RvcmXgAQA!16s%2Fg%2F11f5psg3qn?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
Toko New Lestari,(024) 3518766,"Jl. K.H. Agus Salim No.Kav. 849, Purwodinatan, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah 50137",Kec. Semarang Tengah,Kota Semarang,Jawa Tengah,50137,4.0,95,-6.9710689,110.3559899,"https://www.google.com/maps/place/Toko+New+Lestari/@-6.9710689,110.3559899,13z/data=!4m11!1m3!2m2!1sToko+Bahan+Bangunan+en+Semarang!6e6!3m6!1s0x2e70f355e619e3db:0xf633790afbd45da3!8m2!3d-6.970667!4d110.4274!15sCh9Ub2tvIEJhaGFuIEJhbmd1bmFuIGVuIFNlbWFyYW5nWiEiH3Rva28gYmFoYW4gYmFuZ3VuYW4gZW4gc2VtYXJhbmeSARhidWlsZGluZ19tYXRlcmlhbHNfc3RvcmXgAQA!16s%2Fg%2F11b6d7681c?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
SINAR KENCANA TB,6285225528042,"Jl. Petolongan No.11, Purwodinatan, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah 50137",Kec. Semarang Tengah,Kota Semarang,Jawa Tengah,50137,4.5,63,-6.9710689,110.3559899,"https://www.google.com/maps/place/SINAR+KENCANA+TB/@-6.9710689,110.3559899,13z/data=!4m11!1m3!2m2!1sToko+Bahan+Bangunan+en+Semarang!6e6!3m6!1s0x2e70f3550095fea1:0x736e8eb561e145bb!8m2!3d-6.972603!4d110.42891!15sCh9Ub2tvIEJhaGFuIEJhbmd1bmFuIGVuIFNlbWFyYW5nWiEiH3Rva28gYmFoYW4gYmFuZ3VuYW4gZW4gc2VtYXJhbmeSAQ5oYXJkd2FyZV9zdG9yZeABAA!16s%2Fg%2F11fzbl6wwt?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
Toko Bangunan Dita Pratama,6287832657982,"Jl. Jeruk Kingkit No.84, Kebonagung, Kec. Semarang Tim., Kota Semarang, Jawa Tengah 50123",Kec. Semarang Tim.,Kota Semarang,Jawa Tengah,50123,5.0,4,-6.9710689,110.3559899,"https://www.google.com/maps/place/Toko+Bangunan+Dita+Pratama/@-6.9710689,110.3559899,13z/data=!4m11!1m3!2m2!1sToko+Bahan+Bangunan+en+Semarang!6e6!3m6!1s0x2e70f3a1ead4f6eb:0x708599805369b6d0!8m2!3d-6.9719516!4d110.4328252!15sCh9Ub2tvIEJhaGFuIEJhbmd1bmFuIGVuIFNlbWFyYW5nWiEiH3Rva28gYmFoYW4gYmFuZ3VuYW4gZW4gc2VtYXJhbmeSARhidWlsZGluZ19tYXRlcmlhbHNfc3RvcmXgAQA!16s%2Fg%2F11k5j79qwx?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
TB Hateha,(024) 3545966,"JL. Mlaten Trenggulun 16 RT 00713, Semarang, 50126, Mlatibaru, Semarang Timur, Semarang City, Central Java 50122",Semarang Timur,Semarang City,Central Java,50122,4.5,4,-6.9710689,110.3559899,"https://www.google.com/maps/place/TB+Hateha/@-6.9710689,110.3559899,13z/data=!4m11!1m3!2m2!1sToko+Bahan+Bangunan+en+Semarang!6e6!3m6!1s0x2e70f351b36752b7:0xc7274893571dbe5d!8m2!3d-6.9682769!4d110.4348434!15sCh9Ub2tvIEJhaGFuIEJhbmd1bmFuIGVuIFNlbWFyYW5nWiEiH3Rva28gYmFoYW4gYmFuZ3VuYW4gZW4gc2VtYXJhbmeSARhidWlsZGluZ19tYXRlcmlhbHNfc3RvcmXgAQA!16s%2Fg%2F1hc573ft9?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
Pantes Home Decoration Gallery,(024) 3522022,"jl.pekojan pertokoan THD A7, Purwodinatan, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah 50137",Kec. Semarang Tengah,Kota Semarang,Jawa Tengah,50137,4.7,1162,-6.9710689,110.3559899,"https://www.google.com/maps/place/Pantes+Home+Decoration+Gallery/@-6.9710689,110.3559899,13z/data=!4m11!1m3!2m2!1sToko+Bahan+Bangunan+en+Semarang!6e6!3m6!1s0x2e70f355c4eb6067:0x6a83e37832b1bbf9!8m2!3d-6.970966!4d110.4279964!15sCh9Ub2tvIEJhaGFuIEJhbmd1bmFuIGVuIFNlbWFyYW5nWiEiH3Rva28gYmFoYW4gYmFuZ3VuYW4gZW4gc2VtYXJhbmeSARVkcnlfd2FsbF9zdXBwbHlfc3RvcmXgAQA!16s%2Fg%2F1hm5d8_t2?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
Toko Bangunan Anda Kedungmundu,,"Jl. Kedungmundu No.83, Sendangguwo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50273",Kec. Tembalang,Kota Semarang,Jawa Tengah,50273,4.3,198,-7.0117734,110.3736009,"https://www.google.com/maps/place/Toko+Bangunan+Anda+Kedungmundu/@-7.0117734,110.3736009,13z/data=!4m11!1m3!2m2!1sToko+Bahan+Bangunan+en+Semarang!6e6!3m6!1s0x2e708c8bb8755b11:0xca4bae718c5d3c15!8m2!3d-7.0117734!4d110.4456987!15sCh9Ub2tvIEJhaGFuIEJhbmd1bmFuIGVuIFNlbWFyYW5nWiEiH3Rva28gYmFoYW4gYmFuZ3VuYW4gZW4gc2VtYXJhbmeSAQ5oYXJkd2FyZV9zdG9yZeABAA!16s%2Fg%2F11cnnwy2tc?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
Toko Anugrah Makmur Sejahtera,(024) 3542405,"Jl. Pekojan No.67 A, Purwodinatan, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah 50137",Kec. Semarang Tengah,Kota Semarang,Jawa Tengah,50137,4.5,25,-7.0117734,110.3736009,"https://www.google.com/maps/place/Toko+Anugrah+Makmur+Sejahtera/@-7.0117734,110.3736009,13z/data=!4m11!1m3!2m2!1sToko+Bahan+Bangunan+en+Semarang!6e6!3m6!1s0x2e70f3553cb25825:0x30d5e4303b0bb07!8m2!3d-6.9734345!4d110.4282!15sCh9Ub2tvIEJhaGFuIEJhbmd1bmFuIGVuIFNlbWFyYW5nWiEiH3Rva28gYmFoYW4gYmFuZ3VuYW4gZW4gc2VtYXJhbmeSARhidWlsZGluZ19tYXRlcmlhbHNfc3RvcmXgAQA!16s%2Fg%2F11dym7pl1_?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
Toko Bangunan Mekar Jaya,6281326120088,"Jl. MT. Haryono No.219, Jagalan, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah 50136",Kec. Semarang Tengah,Kota Semarang,Jawa Tengah,50136,4.3,30,-6.9734345,110.3561022,"https://www.google.com/maps/place/Toko+Bangunan+Mekar+Jaya/@-6.9734345,110.3561022,13z/data=!4m11!1m3!2m2!1sToko+Bahan+Bangunan+en+Semarang!6e6!3m6!1s0x2e708dab6cd425a5:0x5395ccb9a0c5fa61!8m2!3d-6.9767297!4d110.4310872!15sCh9Ub2tvIEJhaGFuIEJhbmd1bmFuIGVuIFNlbWFyYW5nWiEiH3Rva28gYmFoYW4gYmFuZ3VuYW4gZW4gc2VtYXJhbmeSAQp0b29sX3N0b3Jl4AEA!16s%2Fg%2F11f7by8rfl?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
Toko Bangunan Anda Kedungmundu,,"Jl. Kedungmundu No.83, Sendangguwo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50273",Kec. Tembalang,Kota Semarang,Jawa Tengah,50273,4.3,198,-7.0117734,110.3736009,"https://www.google.com/maps/place/Toko+Bangunan+Anda+Kedungmundu/@-7.0117734,110.3736009,13z/data=!4m11!1m3!2m2!1sToko+Bahan+Bangunan+en+Semarang!6e6!3m6!1s0x2e708c8bb8755b11:0xca4bae718c5d3c15!8m2!3d-7.0117734!4d110.4456987!15sCh9Ub2tvIEJhaGFuIEJhbmd1bmFuIGVuIFNlbWFyYW5nWiEiH3Rva28gYmFoYW4gYmFuZ3VuYW4gZW4gc2VtYXJhbmeSAQ5oYXJkd2FyZV9zdG9yZeABAA!16s%2Fg%2F11cnnwy2tc?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
Sobat Cuan Abadi,62811276696,"Jl. Bubakan No.17A, Purwodinatan, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah 50137",Kec. Semarang Tengah,Kota Semarang,Jawa Tengah,50137,5.0,6,-6.9711496,110.3578229,"https://www.google.com/maps/place/Sobat+Cuan+Abadi/@-6.9711496,110.3578229,13z/data=!4m11!1m3!2m2!1sToko+Bahan+Bangunan+en+Semarang!6e6!3m6!1s0x2e70f3c07c4c6d41:0xfb401c654a35074f!8m2!3d-6.9711496!4d110.4299207!15sCh9Ub2tvIEJhaGFuIEJhbmd1bmFuIGVuIFNlbWFyYW5nWiEiH3Rva28gYmFoYW4gYmFuZ3VuYW4gZW4gc2VtYXJhbmeSAQ5oYXJkd2FyZV9zdG9yZeABAA!16s%2Fg%2F11t5l1q2n1?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
Alternative by Sinar Gemilang,6287812340055,"Jl. K.H. Agus Salim No.A3, Pekojan, Kec. Semarang Utara, Kota Semarang, Jawa Tengah 50137",Kec. Semarang Utara,Kota Semarang,Jawa Tengah,50137,4.5,48,-6.9711496,110.3578229,"https://www.google.com/maps/place/Alternative+by+Sinar+Gemilang/@-6.9711496,110.3578229,13z/data=!4m11!1m3!2m2!1sToko+Bahan+Bangunan+en+Semarang!6e6!3m6!1s0x2e70f3579c770df7:0x1f4173c212d23155!8m2!3d-6.9708598!4d110.4282828!15sCh9Ub2tvIEJhaGFuIEJhbmd1bmFuIGVuIFNlbWFyYW5nWiEiH3Rva28gYmFoYW4gYmFuZ3VuYW4gZW4gc2VtYXJhbmeSARhidWlsZGluZ19tYXRlcmlhbHNfc3RvcmXgAQA!16s%2Fg%2F1tcy_0m3?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
SUMBU,628112606979,"Jl. Pekojan No.52, Purwodinatan, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah 50137",Kec. Semarang Tengah,Kota Semarang,Jawa Tengah,50137,5.0,5,-6.9711496,110.3578229,"https://www.google.com/maps/place/SUMBU/@-6.9711496,110.3578229,13z/data=!4m11!1m3!2m2!1sToko+Bahan+Bangunan+en+Semarang!6e6!3m6!1s0x2e70f37c85a44dd3:0x136279e1defd4f4!8m2!3d-6.973144!4d110.4283267!15sCh9Ub2tvIEJhaGFuIEJhbmd1bmFuIGVuIFNlbWFyYW5nWiEiH3Rva28gYmFoYW4gYmFuZ3VuYW4gZW4gc2VtYXJhbmeSARhidWlsZGluZ19tYXRlcmlhbHNfc3RvcmXgAQA!16s%2Fg%2F11s9ftvzcl?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
Wijaya 33,6282227840429,"Ruko THD, Blok B7, JL. H. Agus Salim, Jl. K.H. Agus Salim, Purwodinatan, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah 50137",Kec. Semarang Tengah,Kota Semarang,Jawa Tengah,50137,4.3,19,-6.9711496,110.3578229,"https://www.google.com/maps/place/Wijaya+33/@-6.9711496,110.3578229,13z/data=!4m11!1m3!2m2!1sToko+Bahan+Bangunan+en+Semarang!6e6!3m6!1s0x2e70f355c422e6ab:0x52e8b667616eb9d4!8m2!3d-6.9708512!4d110.4285828!15sCh9Ub2tvIEJhaGFuIEJhbmd1bmFuIGVuIFNlbWFyYW5nWiEiH3Rva28gYmFoYW4gYmFuZ3VuYW4gZW4gc2VtYXJhbmeSARhidWlsZGluZ19tYXRlcmlhbHNfc3RvcmXgAQA!16s%2Fg%2F1pzr6fgp3?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
"TOKO BESI, KERAMIK  BANGUNAN ANIS",(024) 6732585,"Dekat Universitas Semarang  STIE BPD Jateng, Jl. Soekarno Hatta No.15, Kalicari, Kec. Pedurungan, Kota Semarang, Jawa Tengah 50196",Kec. Pedurungan,Kota Semarang,Jawa Tengah,50196,4.7,76,-6.9854706,110.3827818,"https://www.google.com/maps/place/TOKO+BESI,+KERAMIK+%26+BANGUNAN+ANIS/@-6.9854706,110.3827818,13z/data=!4m11!1m3!2m2!1sToko+Bahan+Bangunan+en+Semarang!6e6!3m6!1s0x2e708d50bc138289:0xcb31be6fd6f38627!8m2!3d-6.9854706!4d110.4548796!15sCh9Ub2tvIEJhaGFuIEJhbmd1bmFuIGVuIFNlbWFyYW5nWiEiH3Rva28gYmFoYW4gYmFuZ3VuYW4gZW4gc2VtYXJhbmeSARhidWlsZGluZ19tYXRlcmlhbHNfc3RvcmXgAQA!16s%2Fg%2F1pzrr9w91?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
Tb. Maju Jaya,(024) 3517269,"Jl. Moh. Suyudi No.83, Miroto, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah 50135",Kec. Semarang Tengah,Kota Semarang,Jawa Tengah,50135,4.5,16,-6.9827942,110.3457538,"https://www.google.com/maps/place/Tb.+Maju+Jaya/@-6.9827942,110.3457538,13z/data=!4m11!1m3!2m2!1sToko+Bahan+Bangunan+en+Semarang!6e6!3m6!1s0x2e708b51046912ef:0xd5d9919c0e591e48!8m2!3d-6.9827942!4d110.4178516!15sCh9Ub2tvIEJhaGFuIEJhbmd1bmFuIGVuIFNlbWFyYW5nWiEiH3Rva28gYmFoYW4gYmFuZ3VuYW4gZW4gc2VtYXJhbmeSARhidWlsZGluZ19tYXRlcmlhbHNfc3RvcmXgAQA!16s%2Fg%2F11gbzc0j9w?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
Toko Besi Rejeki,(024) 3556994,"Komplek THD, Jl. K.H. Agus Salim Blok A5, Purwodinatan, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah 50137",Kec. Semarang Tengah,Kota Semarang,Jawa Tengah,50137,4.5,17,-6.9827942,110.3457538,"https://www.google.com/maps/place/Toko+Besi+Rejeki/@-6.9827942,110.3457538,13z/data=!4m11!1m3!2m2!1sToko+Bahan+Bangunan+en+Semarang!6e6!3m6!1s0x2e70f355c38f22f7:0x16746a0ff4f91eef!8m2!3d-6.9708854!4d110.4281941!15sCh9Ub2tvIEJhaGFuIEJhbmd1bmFuIGVuIFNlbWFyYW5nWiEiH3Rva28gYmFoYW4gYmFuZ3VuYW4gZW4gc2VtYXJhbmeSARhidWlsZGluZ19tYXRlcmlhbHNfc3RvcmXgAQA!16s%2Fg%2F11c5668wjg?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
